Certification Course,Gender,Department,Height(CM),Weight(KG),10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,career_willing,social medai & video,Travelling Time,Stress Level,Financial Status,part-time job
No,Female,CS,175,57,83,71,84,Sports,<1 hr,Morning,3-5 LPA,No,50%,1-3 hrs,30-60 min,Low,Middle,No
No,Male,IT,161,67,56,69,78,Sports,2-4 hrs,Morning,<3 LPA,Yes,100%,3-5 hrs,30-60 min,Medium,Poor,Yes
Yes,Male,IT,155,77,83,94,88,Gaming,1-2 hrs,Morning,5-8 LPA,Yes,25%,1-3 hrs,>2 hrs,High,Middle,No
Yes,Female,ENTC,181,66,91,81,68,Music,1-2 hrs,Morning,<3 LPA,No,75%,3-5 hrs,1-2 hrs,High,Middle,Yes
No,Male,Mechanical,155,61,62,88,89,Reading,1-2 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,30-60 min,Low,Good,No
Yes,Male,IT,172,72,82,71,79,Sports,1-2 hrs,Evening,<3 LPA,Yes,25%,<1 hr,<30 min,Medium,Middle,No
No,Male,IT,169,72,70,94,71,Music,2-4 hrs,Morning,5-8 LPA,No,75%,1-3 hrs,<30 min,High,Poor,Yes
Yes,Male,Mechanical,163,89,85,50,75,Sports,1-2 hrs,Night,3-5 LPA,No,50%,3-5 hrs,<30 min,Low,Middle,No
Yes,Male,Mechanical,166,74,63,67,85,Gaming,>4 hrs,Evening,<3 LPA,No,50%,<1 hr,<30 min,Low,Middle,No
Yes,Female,Mechanical,158,70,67,71,62,Music,1-2 hrs,Night,<3 LPA,Yes,75%,<1 hr,1-2 hrs,Medium,Middle,No
Yes,Female,IT,179,85,94,68,74,Sports,2-4 hrs,Morning,5-8 LPA,Yes,25%,3-5 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,IT,157,56,80,92,80,Reading,1-2 hrs,Evening,5-8 LPA,Yes,100%,1-3 hrs,>2 hrs,Medium,Middle,No
Yes,Male,ENTC,183,66,79,75,85,Gaming,<1 hr,Evening,>8 LPA,No,75%,1-3 hrs,<30 min,High,Middle,Yes
Yes,Male,CS,150,75,94,61,86,Reading,1-2 hrs,Evening,<3 LPA,Yes,25%,1-3 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,Mechanical,176,77,81,64,64,Sports,<1 hr,Morning,<3 LPA,No,50%,<1 hr,1-2 hrs,Low,Good,Yes
No,Male,Mechanical,181,81,78,87,89,Travelling,1-2 hrs,Evening,5-8 LPA,No,100%,3-5 hrs,1-2 hrs,Low,Middle,Yes
Yes,Male,Civil,166,89,72,64,75,Sports,1-2 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Middle,No
Yes,Female,CS,179,56,82,60,76,Reading,2-4 hrs,Evening,5-8 LPA,Yes,50%,3-5 hrs,30-60 min,High,Good,Yes
Yes,Female,IT,153,63,74,58,62,Gaming,2-4 hrs,Evening,5-8 LPA,Yes,100%,1-3 hrs,30-60 min,Low,Poor,No
No,Male,ENTC,160,60,80,86,60,Travelling,>4 hrs,Morning,3-5 LPA,Yes,50%,>5 hrs,30-60 min,Low,Middle,Yes
No,Male,ENTC,170,89,67,86,80,Reading,<1 hr,Evening,<3 LPA,No,75%,3-5 hrs,<30 min,Medium,Good,No
No,Male,IT,175,57,73,69,83,Gaming,<1 hr,Morning,<3 LPA,Yes,75%,>5 hrs,<30 min,Low,Middle,No
Yes,Male,Mechanical,188,58,63,85,77,Gaming,1-2 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Poor,Yes
No,Male,Civil,177,77,79,72,73,Sports,<1 hr,Evening,<3 LPA,Yes,50%,<1 hr,<30 min,Low,Good,No
Yes,Female,ENTC,171,63,60,73,65,Gaming,2-4 hrs,Evening,3-5 LPA,No,25%,1-3 hrs,>2 hrs,Medium,Middle,Yes
Yes,Female,IT,186,56,62,82,72,Travelling,1-2 hrs,Evening,<3 LPA,Yes,50%,>5 hrs,30-60 min,Medium,Good,No
Yes,Male,CS,162,85,80,50,81,Sports,2-4 hrs,Night,<3 LPA,Yes,50%,>5 hrs,>2 hrs,Medium,Poor,Yes
Yes,Male,CS,151,46,55,81,82,Travelling,<1 hr,Morning,>8 LPA,No,25%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Male,Mechanical,161,89,73,77,77,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,75%,<1 hr,<30 min,Medium,Middle,Yes
Yes,Female,IT,179,63,87,70,76,Gaming,2-4 hrs,Evening,3-5 LPA,No,100%,3-5 hrs,>2 hrs,Low,Middle,No
No,Male,ENTC,179,45,66,81,74,Music,1-2 hrs,Morning,5-8 LPA,No,75%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,Mechanical,168,61,76,59,64,Gaming,2-4 hrs,Morning,3-5 LPA,No,50%,1-3 hrs,<30 min,Medium,Middle,Yes
Yes,Female,CS,153,70,77,73,68,Sports,1-2 hrs,Night,<3 LPA,Yes,75%,3-5 hrs,30-60 min,Medium,Good,Yes
Yes,Male,Civil,184,51,63,53,72,Music,1-2 hrs,Night,>8 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Male,CS,162,77,72,58,72,Sports,2-4 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,<30 min,Low,Good,Yes
Yes,Female,ENTC,165,45,58,94,89,Sports,2-4 hrs,Night,3-5 LPA,Yes,75%,>5 hrs,<30 min,Medium,Poor,No
Yes,Male,ENTC,164,62,79,57,79,Gaming,2-4 hrs,Evening,>8 LPA,Yes,50%,<1 hr,1-2 hrs,Medium,Middle,Yes
No,Female,CS,161,48,89,94,82,Sports,2-4 hrs,Evening,3-5 LPA,Yes,50%,<1 hr,1-2 hrs,Low,Poor,Yes
No,Male,ENTC,160,65,70,67,73,Gaming,<1 hr,Evening,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Poor,No
Yes,Male,ENTC,160,81,87,55,60,Music,1-2 hrs,Night,5-8 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Middle,No
No,Female,CS,163,54,74,94,69,Sports,1-2 hrs,Night,<3 LPA,Yes,50%,<1 hr,>2 hrs,Low,Good,No
Yes,Male,CS,169,60,82,58,71,Sports,<1 hr,Morning,<3 LPA,Yes,100%,<1 hr,30-60 min,Medium,Good,No
No,Male,IT,164,45,91,50,73,Gaming,1-2 hrs,Night,3-5 LPA,No,75%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Male,Mechanical,159,56,79,78,78,Reading,2-4 hrs,Morning,>8 LPA,Yes,50%,1-3 hrs,30-60 min,Low,Middle,No
No,Male,IT,170,89,77,76,83,Sports,1-2 hrs,Evening,3-5 LPA,No,25%,<1 hr,1-2 hrs,High,Poor,Yes
No,Male,Mechanical,187,64,76,79,74,Music,1-2 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Good,No
Yes,Male,ENTC,172,89,71,68,81,Music,1-2 hrs,Morning,3-5 LPA,Yes,25%,1-3 hrs,<30 min,High,Good,Yes
Yes,Male,CS,166,79,81,63,60,Travelling,<1 hr,Night,<3 LPA,No,50%,1-3 hrs,>2 hrs,Medium,Good,No
Yes,Male,IT,167,73,67,70,69,Reading,2-4 hrs,Evening,<3 LPA,Yes,25%,<1 hr,30-60 min,High,Good,No
Yes,Female,CS,173,81,55,53,66,Music,2-4 hrs,Morning,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,Low,Middle,Yes
No,Female,CS,159,50,72,84,78,Music,2-4 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Middle,Yes
Yes,Male,CS,152,66,94,83,76,Music,2-4 hrs,Night,3-5 LPA,No,75%,1-3 hrs,30-60 min,Medium,Middle,Yes
Yes,Female,IT,164,66,81,76,68,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,75%,<1 hr,<30 min,Low,Middle,Yes
Yes,Female,ENTC,164,57,74,50,74,Travelling,<1 hr,Night,5-8 LPA,Yes,75%,<1 hr,30-60 min,Low,Middle,Yes
Yes,Male,CS,163,45,69,67,76,Reading,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Poor,Yes
No,Female,Civil,178,61,83,90,74,Sports,2-4 hrs,Night,<3 LPA,No,75%,1-3 hrs,<30 min,Low,Good,Yes
No,Female,ENTC,168,71,62,69,76,Gaming,>4 hrs,Night,3-5 LPA,Yes,25%,3-5 hrs,1-2 hrs,Medium,Good,No
Yes,Male,ENTC,154,59,89,77,69,Reading,1-2 hrs,Morning,<3 LPA,Yes,100%,1-3 hrs,>2 hrs,Low,Middle,No
Yes,Male,IT,151,67,91,81,78,Gaming,1-2 hrs,Morning,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Good,Yes
No,Female,CS,186,80,75,82,84,Music,1-2 hrs,Night,<3 LPA,Yes,100%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Female,CS,162,58,82,91,78,Sports,<1 hr,Morning,<3 LPA,Yes,25%,>5 hrs,<30 min,Medium,Middle,No
No,Male,CS,163,58,80,86,71,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,100%,>5 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,Civil,160,77,80,64,73,Music,1-2 hrs,Evening,5-8 LPA,Yes,25%,3-5 hrs,30-60 min,High,Middle,No
No,Male,IT,179,61,70,87,84,Music,1-2 hrs,Morning,5-8 LPA,Yes,50%,<1 hr,<30 min,High,Middle,Yes
Yes,Male,ENTC,181,64,81,60,70,Music,2-4 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Good,No
No,Male,IT,157,45,83,64,70,Reading,1-2 hrs,Morning,3-5 LPA,No,75%,1-3 hrs,30-60 min,Low,Middle,Yes
Yes,Female,Mechanical,166,83,75,79,84,Gaming,2-4 hrs,Evening,5-8 LPA,Yes,50%,<1 hr,1-2 hrs,High,Middle,Yes
No,Female,IT,175,63,65,75,73,Music,2-4 hrs,Night,5-8 LPA,No,50%,<1 hr,1-2 hrs,Low,Middle,No
Yes,Female,IT,166,63,85,58,74,Music,2-4 hrs,Evening,3-5 LPA,Yes,100%,1-3 hrs,30-60 min,Medium,Middle,Yes
No,Male,CS,170,59,80,78,82,Sports,1-2 hrs,Night,3-5 LPA,No,75%,1-3 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Male,ENTC,163,45,82,94,69,Sports,2-4 hrs,Evening,3-5 LPA,Yes,100%,>5 hrs,30-60 min,Medium,Middle,No
No,Male,ENTC,173,75,82,86,68,Gaming,2-4 hrs,Morning,5-8 LPA,Yes,75%,3-5 hrs,30-60 min,Medium,Poor,No
No,Female,CS,184,86,80,55,60,Travelling,<1 hr,Night,5-8 LPA,Yes,75%,<1 hr,1-2 hrs,Medium,Middle,No
Yes,Male,ENTC,168,57,61,60,65,Gaming,<1 hr,Morning,>8 LPA,Yes,25%,3-5 hrs,30-60 min,Medium,Good,Yes
No,Male,CS,170,53,81,58,65,Reading,2-4 hrs,Night,>8 LPA,No,50%,1-3 hrs,30-60 min,High,Good,No
Yes,Female,Civil,174,71,94,55,73,Music,1-2 hrs,Morning,<3 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Good,Yes
No,Male,IT,167,71,89,73,71,Gaming,1-2 hrs,Morning,<3 LPA,Yes,75%,>5 hrs,>2 hrs,High,Good,Yes
No,Male,CS,160,54,69,70,66,Travelling,1-2 hrs,Night,<3 LPA,No,50%,1-3 hrs,<30 min,High,Middle,No
Yes,Male,ENTC,176,70,86,75,73,Gaming,<1 hr,Night,3-5 LPA,Yes,50%,3-5 hrs,30-60 min,Low,Poor,No
Yes,Male,CS,165,82,57,85,64,Travelling,1-2 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,<30 min,High,Middle,Yes
Yes,Male,Mechanical,189,73,62,58,83,Reading,>4 hrs,Night,<3 LPA,Yes,25%,<1 hr,<30 min,High,Middle,No
Yes,Female,CS,169,78,83,68,89,Gaming,1-2 hrs,Morning,<3 LPA,Yes,100%,1-3 hrs,<30 min,Medium,Middle,Yes
Yes,Male,Civil,188,89,64,54,76,Music,<1 hr,Evening,3-5 LPA,No,75%,1-3 hrs,1-2 hrs,Low,Good,No
No,Male,Civil,162,82,65,84,74,Sports,1-2 hrs,Evening,5-8 LPA,No,100%,1-3 hrs,>2 hrs,High,Middle,No
Yes,Male,Civil,159,69,85,83,86,Music,2-4 hrs,Evening,3-5 LPA,Yes,100%,1-3 hrs,1-2 hrs,High,Middle,No
No,Female,CS,156,58,94,85,64,Music,1-2 hrs,Morning,<3 LPA,Yes,75%,3-5 hrs,<30 min,Low,Middle,No
Yes,Male,Mechanical,181,69,64,92,82,Music,1-2 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Good,Yes
Yes,Male,CS,175,51,80,76,86,Travelling,<1 hr,Evening,5-8 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Middle,Yes
Yes,Female,CS,152,69,74,93,60,Music,2-4 hrs,Night,<3 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Middle,Yes
No,Male,CS,172,58,75,67,76,Sports,1-2 hrs,Morning,3-5 LPA,No,75%,<1 hr,30-60 min,High,Middle,Yes
Yes,Female,IT,162,64,84,87,89,Sports,2-4 hrs,Night,<3 LPA,No,75%,<1 hr,30-60 min,Low,Good,No
Yes,Male,IT,183,83,70,50,87,Sports,2-4 hrs,Evening,5-8 LPA,Yes,50%,<1 hr,1-2 hrs,Medium,Good,No
Yes,Female,Civil,175,63,68,94,72,Travelling,1-2 hrs,Evening,<3 LPA,No,50%,1-3 hrs,30-60 min,High,Good,Yes
Yes,Male,IT,162,71,87,81,70,Reading,2-4 hrs,Evening,3-5 LPA,No,100%,<1 hr,30-60 min,Medium,Good,Yes
Yes,Male,CS,175,49,72,78,72,Travelling,2-4 hrs,Evening,3-5 LPA,Yes,50%,1-3 hrs,1-2 hrs,Low,Middle,No
No,Female,CS,176,86,55,59,66,Gaming,<1 hr,Morning,3-5 LPA,Yes,75%,<1 hr,30-60 min,Medium,Good,Yes
Yes,Male,Mechanical,167,71,65,69,66,Gaming,2-4 hrs,Evening,3-5 LPA,No,25%,1-3 hrs,<30 min,Medium,Poor,No
Yes,Female,CS,189,54,77,59,60,Gaming,<1 hr,Evening,3-5 LPA,Yes,75%,3-5 hrs,<30 min,High,Middle,Yes
Yes,Male,ENTC,174,54,92,50,74,Music,<1 hr,Morning,<3 LPA,Yes,75%,3-5 hrs,1-2 hrs,Medium,Poor,Yes
No,Male,CS,162,76,68,64,62,Travelling,<1 hr,Evening,3-5 LPA,Yes,100%,3-5 hrs,1-2 hrs,High,Middle,No
No,Female,ENTC,171,69,94,52,68,Gaming,1-2 hrs,Morning,5-8 LPA,Yes,75%,1-3 hrs,<30 min,Low,Middle,Yes
Yes,Female,IT,169,82,63,69,78,Sports,<1 hr,Evening,>8 LPA,No,75%,1-3 hrs,30-60 min,Medium,Middle,No
Yes,Female,CS,171,64,64,73,82,Music,<1 hr,Morning,>8 LPA,Yes,100%,1-3 hrs,>2 hrs,Medium,Middle,No
No,Male,CS,172,79,76,68,80,Sports,2-4 hrs,Morning,5-8 LPA,Yes,100%,>5 hrs,30-60 min,High,Poor,Yes
Yes,Female,ENTC,158,50,79,79,80,Reading,2-4 hrs,Evening,5-8 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Female,CS,179,55,89,64,63,Gaming,1-2 hrs,Morning,>8 LPA,Yes,25%,<1 hr,<30 min,Medium,Good,No
Yes,Male,IT,169,72,91,75,70,Gaming,>4 hrs,Night,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,Low,Poor,No
Yes,Male,CS,164,68,80,79,80,Reading,1-2 hrs,Night,>8 LPA,Yes,100%,3-5 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,CS,171,45,90,68,75,Sports,1-2 hrs,Night,3-5 LPA,Yes,25%,1-3 hrs,<30 min,Low,Middle,No
Yes,Male,Mechanical,176,64,67,92,89,Reading,2-4 hrs,Night,3-5 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Poor,No
No,Male,Mechanical,177,63,55,79,71,Gaming,<1 hr,Morning,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,Low,Middle,No
Yes,Male,CS,176,80,71,74,82,Gaming,<1 hr,Morning,<3 LPA,Yes,100%,3-5 hrs,30-60 min,Low,Good,No
Yes,Male,CS,176,62,69,83,76,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,75%,<1 hr,<30 min,Low,Middle,Yes
No,Male,IT,166,53,80,81,73,Travelling,2-4 hrs,Night,3-5 LPA,No,75%,1-3 hrs,30-60 min,High,Good,No
No,Female,CS,187,72,62,73,78,Gaming,1-2 hrs,Morning,>8 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Poor,No
No,Female,ENTC,167,61,72,66,68,Reading,2-4 hrs,Morning,>8 LPA,Yes,50%,<1 hr,<30 min,High,Good,Yes
Yes,Male,CS,177,55,87,58,72,Travelling,>4 hrs,Evening,3-5 LPA,No,100%,1-3 hrs,30-60 min,High,Middle,No
No,Female,CS,167,75,87,62,70,Music,>4 hrs,Night,>8 LPA,Yes,25%,<1 hr,<30 min,Medium,Middle,Yes
Yes,Male,ENTC,189,86,55,50,62,Sports,<1 hr,Evening,3-5 LPA,Yes,75%,3-5 hrs,30-60 min,High,Middle,Yes
Yes,Male,Mechanical,165,67,92,72,80,Sports,1-2 hrs,Night,5-8 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Middle,No
No,Male,ENTC,189,63,75,50,85,Sports,>4 hrs,Morning,3-5 LPA,No,100%,1-3 hrs,<30 min,Medium,Good,No
Yes,Female,IT,171,87,72,65,73,Music,2-4 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,Low,Middle,No
No,Male,CS,150,85,86,93,73,Gaming,1-2 hrs,Morning,<3 LPA,Yes,100%,>5 hrs,<30 min,High,Poor,No
Yes,Female,ENTC,189,51,71,57,62,Gaming,<1 hr,Evening,<3 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Good,No
Yes,Male,ENTC,164,64,81,55,71,Music,1-2 hrs,Night,<3 LPA,Yes,25%,>5 hrs,1-2 hrs,High,Good,No
Yes,Female,IT,158,56,63,69,60,Music,1-2 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Poor,No
Yes,Male,CS,163,53,58,74,60,Sports,<1 hr,Morning,3-5 LPA,Yes,100%,1-3 hrs,<30 min,High,Good,No
No,Female,Mechanical,170,81,72,67,86,Reading,>4 hrs,Night,3-5 LPA,Yes,100%,1-3 hrs,<30 min,Low,Middle,No
Yes,Male,CS,175,57,94,75,77,Travelling,2-4 hrs,Morning,5-8 LPA,Yes,100%,1-3 hrs,30-60 min,Medium,Good,Yes
No,Male,IT,180,60,68,70,76,Gaming,2-4 hrs,Morning,5-8 LPA,No,50%,<1 hr,>2 hrs,Medium,Poor,No
No,Male,ENTC,168,72,85,50,60,Music,2-4 hrs,Evening,>8 LPA,No,25%,<1 hr,1-2 hrs,Medium,Good,Yes
Yes,Female,ENTC,155,78,58,68,67,Reading,2-4 hrs,Night,3-5 LPA,Yes,100%,<1 hr,<30 min,Low,Good,Yes
Yes,Male,ENTC,169,74,55,81,72,Travelling,2-4 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,Low,Good,Yes
No,Female,Civil,170,54,76,76,74,Reading,1-2 hrs,Morning,<3 LPA,No,75%,3-5 hrs,>2 hrs,Medium,Middle,No
Yes,Female,IT,162,55,60,50,84,Sports,<1 hr,Night,3-5 LPA,No,50%,>5 hrs,<30 min,Medium,Middle,No
No,Female,ENTC,160,73,61,63,78,Music,1-2 hrs,Morning,3-5 LPA,Yes,50%,1-3 hrs,>2 hrs,Medium,Middle,No
Yes,Male,ENTC,167,74,89,69,63,Gaming,1-2 hrs,Night,<3 LPA,Yes,100%,>5 hrs,30-60 min,High,Poor,No
Yes,Female,IT,150,76,88,50,74,Music,1-2 hrs,Morning,<3 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Good,Yes
No,Male,IT,167,45,87,80,87,Music,>4 hrs,Night,>8 LPA,Yes,25%,<1 hr,1-2 hrs,Medium,Middle,Yes
Yes,Female,Mechanical,171,68,74,82,71,Travelling,>4 hrs,Night,3-5 LPA,Yes,100%,3-5 hrs,30-60 min,Medium,Poor,No
No,Male,IT,150,66,65,61,89,Gaming,<1 hr,Night,3-5 LPA,Yes,100%,3-5 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,CS,173,54,69,82,78,Travelling,>4 hrs,Morning,<3 LPA,No,75%,1-3 hrs,>2 hrs,Medium,Middle,No
Yes,Female,IT,187,86,70,73,67,Music,1-2 hrs,Evening,<3 LPA,Yes,75%,3-5 hrs,1-2 hrs,High,Middle,No
Yes,Female,IT,179,64,73,59,77,Sports,<1 hr,Morning,<3 LPA,No,25%,<1 hr,1-2 hrs,Medium,Middle,No
Yes,Male,Mechanical,162,53,78,63,67,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,25%,>5 hrs,1-2 hrs,Medium,Middle,No
Yes,Female,ENTC,189,77,65,50,68,Reading,1-2 hrs,Morning,3-5 LPA,No,25%,3-5 hrs,1-2 hrs,Medium,Good,Yes
Yes,Male,Civil,171,68,77,78,71,Reading,2-4 hrs,Morning,<3 LPA,No,100%,3-5 hrs,30-60 min,High,Middle,Yes
Yes,Female,IT,167,80,71,54,77,Travelling,>4 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,<30 min,Medium,Middle,Yes
Yes,Female,ENTC,167,61,73,69,76,Sports,>4 hrs,Evening,5-8 LPA,Yes,75%,>5 hrs,<30 min,Medium,Poor,No
Yes,Male,IT,182,73,72,70,76,Music,2-4 hrs,Night,<3 LPA,No,25%,<1 hr,30-60 min,Medium,Good,No
No,Female,IT,174,54,77,71,85,Travelling,2-4 hrs,Morning,<3 LPA,Yes,100%,3-5 hrs,30-60 min,Medium,Poor,No
No,Female,CS,161,61,55,68,82,Music,1-2 hrs,Evening,<3 LPA,Yes,50%,>5 hrs,30-60 min,Low,Poor,Yes
Yes,Female,Mechanical,189,60,76,74,68,Gaming,2-4 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,CS,160,65,81,61,61,Sports,2-4 hrs,Morning,3-5 LPA,No,50%,>5 hrs,1-2 hrs,Medium,Middle,No
No,Male,ENTC,185,69,94,82,88,Music,1-2 hrs,Morning,<3 LPA,No,100%,1-3 hrs,1-2 hrs,Low,Middle,No
Yes,Female,CS,186,45,73,64,84,Travelling,>4 hrs,Night,3-5 LPA,Yes,75%,<1 hr,<30 min,High,Middle,No
Yes,Male,IT,172,45,61,51,81,Gaming,1-2 hrs,Evening,<3 LPA,Yes,50%,1-3 hrs,>2 hrs,Medium,Middle,No
No,Female,CS,173,69,83,64,73,Reading,2-4 hrs,Evening,3-5 LPA,No,50%,1-3 hrs,<30 min,Medium,Poor,Yes
Yes,Male,Civil,150,69,70,69,81,Gaming,1-2 hrs,Night,5-8 LPA,Yes,100%,1-3 hrs,>2 hrs,Medium,Poor,Yes
Yes,Female,IT,155,65,94,58,76,Sports,2-4 hrs,Morning,5-8 LPA,Yes,50%,3-5 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,CS,163,83,76,58,75,Sports,2-4 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Low,Middle,No
Yes,Female,CS,161,60,60,90,76,Reading,<1 hr,Night,3-5 LPA,No,100%,1-3 hrs,30-60 min,High,Middle,Yes
Yes,Male,ENTC,160,71,57,50,86,Travelling,2-4 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,<30 min,Low,Poor,Yes
No,Male,IT,156,61,77,59,60,Sports,1-2 hrs,Night,5-8 LPA,Yes,50%,<1 hr,30-60 min,Medium,Good,No
No,Male,CS,165,77,71,50,71,Music,1-2 hrs,Night,3-5 LPA,Yes,25%,1-3 hrs,1-2 hrs,Low,Poor,Yes
No,Male,ENTC,162,87,57,50,69,Music,1-2 hrs,Morning,<3 LPA,Yes,25%,3-5 hrs,30-60 min,Medium,Poor,Yes
Yes,Male,CS,189,56,79,51,81,Music,<1 hr,Evening,<3 LPA,Yes,25%,<1 hr,1-2 hrs,Medium,Middle,Yes
No,Male,ENTC,185,56,64,50,89,Music,2-4 hrs,Night,3-5 LPA,No,25%,>5 hrs,1-2 hrs,Medium,Poor,Yes
Yes,Female,CS,161,80,84,82,69,Music,1-2 hrs,Evening,3-5 LPA,Yes,75%,<1 hr,<30 min,Medium,Good,No
Yes,Female,Mechanical,165,63,69,76,75,Travelling,<1 hr,Night,5-8 LPA,Yes,50%,<1 hr,1-2 hrs,Low,Middle,Yes
No,Female,CS,175,53,64,63,86,Travelling,1-2 hrs,Night,>8 LPA,Yes,75%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,IT,189,73,59,70,68,Travelling,2-4 hrs,Evening,3-5 LPA,No,25%,1-3 hrs,30-60 min,High,Good,No
No,Male,ENTC,182,46,72,57,66,Music,2-4 hrs,Night,<3 LPA,Yes,25%,1-3 hrs,<30 min,Low,Good,Yes
Yes,Female,ENTC,185,72,80,73,89,Travelling,>4 hrs,Evening,3-5 LPA,Yes,75%,>5 hrs,1-2 hrs,High,Good,Yes
No,Male,Mechanical,171,64,83,52,80,Sports,2-4 hrs,Morning,3-5 LPA,Yes,25%,>5 hrs,<30 min,Medium,Middle,No
No,Male,CS,160,68,72,68,82,Travelling,1-2 hrs,Night,5-8 LPA,Yes,75%,1-3 hrs,<30 min,Low,Poor,No
Yes,Female,CS,177,54,65,64,73,Music,2-4 hrs,Night,3-5 LPA,Yes,50%,3-5 hrs,<30 min,Low,Middle,Yes
Yes,Female,CS,183,45,72,80,75,Music,2-4 hrs,Morning,>8 LPA,Yes,25%,1-3 hrs,30-60 min,Low,Poor,Yes
No,Male,IT,174,54,75,86,89,Sports,1-2 hrs,Night,5-8 LPA,Yes,25%,>5 hrs,30-60 min,Low,Middle,No
Yes,Female,Civil,171,63,67,83,60,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,25%,3-5 hrs,30-60 min,Medium,Middle,No
No,Female,IT,177,89,68,74,62,Travelling,2-4 hrs,Evening,>8 LPA,Yes,100%,3-5 hrs,<30 min,Low,Middle,No
Yes,Male,CS,160,89,89,86,71,Travelling,1-2 hrs,Morning,<3 LPA,No,25%,3-5 hrs,30-60 min,Low,Poor,No
Yes,Female,CS,179,68,94,50,86,Reading,<1 hr,Morning,5-8 LPA,Yes,50%,3-5 hrs,<30 min,High,Middle,No
Yes,Male,CS,169,72,69,67,75,Reading,2-4 hrs,Night,3-5 LPA,Yes,100%,1-3 hrs,30-60 min,High,Middle,Yes
Yes,Male,IT,184,61,81,50,79,Reading,1-2 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Male,ENTC,171,53,84,86,80,Sports,2-4 hrs,Evening,3-5 LPA,Yes,25%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Female,CS,184,76,80,79,84,Reading,1-2 hrs,Night,>8 LPA,Yes,100%,<1 hr,<30 min,Low,Middle,No
Yes,Male,ENTC,172,81,69,77,63,Reading,2-4 hrs,Morning,3-5 LPA,Yes,100%,1-3 hrs,1-2 hrs,Low,Good,No
No,Male,CS,169,45,64,94,60,Sports,>4 hrs,Evening,3-5 LPA,Yes,25%,1-3 hrs,<30 min,High,Middle,Yes
No,Male,CS,189,89,65,57,74,Reading,2-4 hrs,Night,<3 LPA,Yes,50%,<1 hr,>2 hrs,Medium,Poor,Yes
